alerta_id,placa,desde_brt,periodo,veredito,cat,n_dest,n_dest_cli,n_pend,tem_pend,vel_T,dbase_T,stop,stop_off_min,stop_dur,S_dest_d,S_pend_d,S_rom_d,pres_first_cod,pres_first_dt,pres_in_dest,pres_in_pend,r0,r10,b0,b10,osrm_sobe_todos,gps_jumps,grp
43debe27-cb13-4e2f-a81b-c1514bc8fc63,RQU-6G55,2026-08-24 07:46,A 24-28/08,correto,8 indeterminado,2,1,1,True,28,19701.5,True,11.4,1661,12675.2,12675.2,12782.1,,,,,13572.1,13243.2,19701.5,19861.8,True,0,2026-08-24 07:51
4d8c0285-9599-46d9-ab78-ae255fce29ee,RQV-7H50,2026-08-24 07:47,A 24-28/08,correto,1d para em ponto do ROMANEIO que nao esta na lista da Central,8,7,8,True,16,19311.2,True,1.6,1124,3585.7,297.0,0.0,,,,,3389.9,3585.7,19311.2,19709.0,True,0,2026-08-24 07:51
64aa2d2b-ef80-492e-94f5-0ae12839a07d,TOS-3C21,2026-08-24 09:25,A 24-28/08,correto,9 sem disparo afastando_geral (outra origem),0,0,9,True,0,98266.9,True,-0.6,378,,573.5,0.0,,,,,,,,,,0,2026-08-24 12:58
ceff95e5-3134-4ea7-a7f1-1c5d715eaa38,RQV-5F67,2026-08-24 13:03,A 24-28/08,falso,9 sem disparo afastando_geral (outra origem),0,0,1,True,0,46755.7,False,,,,,,,,,,,,,,,0,2026-08-24 13:34
d71fdc04-5b46-48dd-9654-78786878fb94,TOS-1I21,2026-08-25 07:31,A 24-28/08,falso,1a lista vazia: Unitrac sem pendentes (so base),1,0,0,False,93,19764.2,False,,,,,,,,,,,,,,True,0,2026-08-25 07:44
323380f0-f85e-4021-b684-6cf109c8fe74,RBF-5G63,2026-08-25 07:47,A 24-28/08,correto,3b visita cliente da lista logo depois (reta nao diminui),27,27,27,True,65,115002.9,False,,,,,,87302,43.9,True,True,10231.9,11831.5,115002.9,114248.6,True,0,2026-08-25 07:46
c69aff61-6346-4001-a54b-7de338086b3c,RQP-2G33,2026-08-25 07:55,A 24-28/08,correto,8 indeterminado,25,25,27,True,25,95039.2,True,0.6,773,2643.6,327.8,327.8,,,,,2547.8,2640.3,95039.2,95175.6,True,0,2026-08-25 07:58
14d0299a-6ba8-4e9f-98db-0b8334c710e5,RBJ-2H28,2026-08-25 08:16,A 24-28/08,correto,7 GPS ruidoso,28,28,28,True,72,50400.0,True,24.9,203,8.4,8.4,0.0,601665,40.7,True,True,,,,,True,1,2026-08-25 08:18
29754a11-56ed-4172-b161-065b0392e9cc,RQM-0C38,2026-08-25 08:18,A 24-28/08,correto,2 para perto de cliente da lista mas coord. a 150-600m,28,28,28,True,24,96224.2,True,18.4,613,289.3,289.3,0.0,601394,48.7,True,True,4864.8,3182.2,96224.2,99543.9,True,0,2026-08-25 08:23
c768c2d0-4433-481d-9e10-830027818fb4,RQU-0B47,2026-08-25 08:29,A 24-28/08,correto,3b visita cliente da lista logo depois (reta nao diminui),15,15,15,True,28,62795.3,True,28.7,197,135.1,135.1,39.6,829300,-1.3,True,True,467.2,1618.6,62795.3,61914.9,True,0,2026-08-25 08:33
66f50f33-8b2e-423c-94b8-8e77a3ff5ba8,TOS-3C21,2026-08-25 08:46,A 24-28/08,falso,2 para perto de cliente da lista mas coord. a 150-600m,2,2,2,True,13,93446.4,True,2.8,507,433.3,433.3,15.0,,,,,609.8,433.3,93446.4,93486.2,True,0,2026-08-25 08:47
6acad786-b69d-4a5a-870f-ed5e97963c69,TTT-1E20,2026-08-25 08:50,A 24-28/08,falso,9 sem disparo afastando_geral (outra origem),0,0,26,True,0,7907.6,True,-1.7,2493,,658.8,2.9,,,,,,,,,,0,2026-08-25 08:53
